id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
11,"Routing loop detected between R1 and R2","RIP configured; default routes redistributed","show ip rip: R2 advertising default route back to R1","RIP split-horizon disabled causing routing loop","Layer 3","Routing Protocol","High"
12,"PC cannot ping default gateway","PC at 192.168.1.10/24; gateway 192.168.1.1","show arp: gateway MAC missing; ping 192.168.1.1 fails; show run on router: gateway IP 192.168.2.1","Gateway IP misconfigured on PC (wrong subnet)","Layer 3","Default Gateway","Medium"
13,"STP causing network loop","Multiple links between SW1 and SW2 without STP","show spanning-tree: STP disabled on VLAN 1","STP disabled causing broadcast storm","Layer 2","Spanning Tree","Critical"
14,"VPN tunnel not establishing","IPSec VPN between R1 and R2","show crypto isakmp sa: QM_IDLE not reached; show run: pre-shared key mismatch","IPSec pre-shared key mismatch","Layer 3","VPN/Security","High"
15,"OSPF neighbors not forming","R1 and R2 connected via Fa0/0; OSPF area 0","show ip ospf neighbor: empty; show run: R1 area 0, R2 area 1","OSPF area mismatch between routers","Layer 3","OSPF","High"
16,"PC in VLAN 10 cannot reach server in VLAN 20 despite routing","Layer 3 switch routing between VLANs","show ip route: routes present; show access-lists: ACL 101 implicit deny","ACL on Layer 3 SVI blocking return traffic","Layer 3/4","ACL","Medium"
17,"DHCP duplicate IP conflict","Two DHCP servers on same segment","show ip dhcp conflict: entries present; two routers both running DHCP for same pool","Duplicate DHCP servers assigning overlapping pool","Layer 3","DHCP","Medium"
18,"Cannot SSH to router from management PC","SSH configured on R1; PC on management VLAN","show ip ssh: SSH disabled; show run: no ip domain-name configured","IP domain-name not configured, RSA keys not generated","Layer 7","SSH/Management","Low"
19,"Port security violation dropping frames","PC replaced on switchport with port-security","show port-security interface Fa0/5: violation shutdown; new MAC not allowed","Port security violation - MAC address not updated","Layer 2","Port Security","Medium"
20,"EIGRP routes not appearing on R3","EIGRP AS 100 on R1,R2,R3","show ip eigrp neighbors R3: empty; show run R3: eigrp AS 200","EIGRP AS number mismatch on R3","Layer 3","EIGRP","High"
21,"PC gets correct IP but wrong gateway via DHCP","DHCP server misconfigured","show ip dhcp pool: default-router 192.168.1.254 (should be 192.168.1.1)","Wrong default-router in DHCP pool configuration","Layer 3","DHCP","Medium"
22,"Wireless client cannot associate to AP","WPA2 enterprise network","show dot11 associations: none; AP logs show EAP failure; RADIUS server unreachable","RADIUS server IP wrong in AP configuration","Layer 2","Wireless Auth","High"
23,"NAT overload not working for multiple users","PAT configured on R1","show ip nat translations: only one entry; show run: ip nat pool has no overload keyword","NAT overload (PAT) keyword missing","Layer 3","NAT/PAT","High"
24,"Traceroute shows all hops timing out after R2","ACL on R2 blocking ICMP","show access-lists on R2: ICMP unreachable blocked; show run: ACL blocking time-exceeded","ACL blocking ICMP time-exceeded messages","Layer 3/4","ACL/ICMP","Low"
25,"VLAN database not propagating to new switch","VTP configured; new switch added","show vtp status: new switch in VTP server mode with higher revision number","VTP configuration revision number conflict","Layer 2","VTP","High"
26,"BGP session flapping","eBGP between R1 (AS 100) and ISP (AS 200)","show ip bgp summary: BGP state Idle/Active; show run: wrong neighbor IP","BGP neighbor IP address misconfigured","Layer 3","BGP","Critical"
27,"Traffic not being QoS marked correctly","DSCP marking policy on R1","show policy-map interface: policy not applied; show run: service-policy missing on interface","QoS policy-map not applied to correct interface","Layer 2-4","QoS","Low"
28,"HSRP failover not occurring","HSRP between R1 and R2; R1 is active","show standby: R2 priority 90, R1 priority 100; preempt not configured on R1","HSRP preempt not configured on higher priority router","Layer 3","HSRP","Medium"
29,"PC cannot reach server after ACL applied","Extended ACL 110 applied inbound on Fa0/0","show access-lists 110: permit tcp any any established; missing permit icmp","ACL missing permit for established/return TCP sessions","Layer 4","ACL","High"
30,"Wireless client gets IP but no internet","Wireless VLAN 50; NAT not including VLAN 50","show ip nat inside: Fa0/0 only; show run: access-list for NAT missing VLAN 50 subnet","NAT ACL not including wireless VLAN 50 subnet","Layer 3","NAT/Wireless","Medium"
31,"Switch port stuck in err-disabled state","BPDU guard configured; rogue switch connected","show interfaces Fa0/3: err-disabled; show logging: BPDU received","BPDU Guard triggered by connected switch - port err-disabled","Layer 2","STP/Security","High"
32,"Slow network performance across trunk link","ISL trunk between switches","show interfaces trunk: ISL encapsulation; other switches use 802.1Q","Trunk encapsulation mismatch (ISL vs 802.1Q)","Layer 2","Trunking","Medium"
33,"PC1 can ping R1 but not R2 on different segment","Static routes on R1","show ip route: route to 10.0.2.0 missing; only directly connected routes","Missing static route to remote network","Layer 3","Static Routing","Medium"
34,"IPv6 hosts cannot reach each other","IPv6 configured on PCs; no IPv6 routing","show ipv6 route: no routes; show run router: no ipv6 unicast-routing","IPv6 unicast-routing not enabled on router","Layer 3","IPv6","Medium"
35,"DHCP server not reaching clients on remote segment","Server on one subnet; clients on another","show ip helper-address: configured but wrong DHCP server IP","ip helper-address points to wrong DHCP server IP","Layer 3","DHCP Relay","High"
